year,id_,wrkstat,marital,age,educ,degree,sex,hompop,tvhours,coninc,ballot
2018,37,Working part time,Widowed,71,20,Graduate,FEMALE,1,2,70100.0,Ballot a
2018,38,Working full time,Never married,34,20,Graduate,MALE,1,.i:  Inapplicable,31545.0,Ballot c
2018,39,Working full time,Married,45,19,Graduate,MALE,1,1,47317.5,Ballot b
2018,40,.n:  No answer,.n:  No answer,50,12,High school,FEMALE,1,4,-100.0,Ballot a
2018,41,Working part time,Divorced,65,12,High school,FEMALE,1,2,9638.75,Ballot b
2018,42,Working full time,Never married,52,12,High school,MALE,2,5,26287.5,Ballot a
2018,43,Retired,Widowed,62,12,High school,FEMALE,1,8,31545.0,Ballot b
2018,44,"With a job, but not at work because of temporary illness, vacation, strike",Married,60,18,Graduate,MALE,2,.i:  Inapplicable,-100.0,Ballot c
2018,45,Keeping house,Divorced,62,16,Bachelor's,FEMALE,2,.i:  Inapplicable,57832.5,Ballot c
2018,46,Working part time,Widowed,46,12,High school,FEMALE,1,5,22782.5,Ballot b
2018,47,Working part time,Married,40,18,Graduate,MALE,4,2,84120.0,Ballot b
2018,48,Keeping house,Married,53,18,Graduate,FEMALE,5,3,158201.84123,Ballot b
2018,49,Retired,Divorced,75,17,Bachelor's,MALE,1,0 hours,84120.0,Ballot b
2018,50,Retired,Divorced,67,16,Bachelor's,FEMALE,2,2,70100.0,Ballot a
2018,51,Working full time,Never married,22,14,High school,MALE,4,.i:  Inapplicable,-100.0,Ballot c
2018,52,Working full time,Separated,42,12,High school,FEMALE,4,2,19277.5,Ballot a
2018,53,Working full time,Divorced,59,18,Graduate,FEMALE,2,20,57832.5,Ballot b
2018,54,In school,Married,33,18,Graduate,FEMALE,3,.i:  Inapplicable,38555.0,Ballot c
2018,55,Working full time,Married,46,16,Bachelor's,MALE,2,1,158201.84123,Ballot b
2018,56,Working full time,Divorced,55,14,Bachelor's,MALE,2,.i:  Inapplicable,98140.0,Ballot c
2018,57,Keeping house,Married,43,16,Bachelor's,FEMALE,4,1,84120.0,Ballot b
2018,58,"Unemployed, laid off, looking for work",Never married,45,14,High school,FEMALE,2,0 hours,6309.0,Ballot a
2018,59,Working full time,Never married,23,11,Less than high school,MALE,4,.i:  Inapplicable,47317.5,Ballot c
2018,60,Working part time,Separated,28,9,High school,FEMALE,3,12,5257.5,Ballot b
2018,61,Keeping house,Married,27,13,High school,FEMALE,3,17,3855.5,Ballot a
2018,62,Working part time,Married,42,10,Less than high school,FEMALE,3,10,26287.5,Ballot b
2018,63,Working full time,Never married,41,16,Bachelor's,FEMALE,1,4,38555.0,Ballot a
2018,64,Retired,Widowed,64,13,High school,FEMALE,1,5,26287.5,Ballot a
2018,65,Retired,Never married,53,12,Less than high school,MALE,1,3,-100.0,Ballot b
2018,66,Retired,Divorced,79,20,Graduate,MALE,1,1,14896.25,Ballot a
2018,67,Working full time,Married,34,14,High school,MALE,1,1,70100.0,Ballot a
2018,68,Retired,Separated,59,14,High school,FEMALE,2,.i:  Inapplicable,112160.0,Ballot c
2018,69,Working full time,Never married,32,19,Graduate,FEMALE,1,0 hours,98140.0,Ballot a
2018,70,Keeping house,Married,33,16,Bachelor's,FEMALE,5,4,11391.25,Ballot b
2018,71,Keeping house,Never married,35,15,High school,MALE,1,5,6309.0,Ballot b
2018,72,Working full time,Married,37,16,Associate/junior college,MALE,2,2,98140.0,Ballot b
2018,73,Keeping house,Married,28,16,Bachelor's,FEMALE,2,5,47317.5,Ballot a
2018,74,Working full time,Married,42,20,Graduate,FEMALE,1,.i:  Inapplicable,158201.84123,Ballot c
2018,75,Working full time,Never married,21,14,High school,MALE,4,.i:  Inapplicable,70100.0,Ballot c
2018,76,Working full time,Never married,33,14,Associate/junior college,FEMALE,11,1,158201.84123,Ballot a
2018,77,Working full time,Married,37,16,Bachelor's,FEMALE,4,.i:  Inapplicable,158201.84123,Ballot c
2018,78,Keeping house,Widowed,89 or older,8,Less than high school,FEMALE,3,2,47317.5,Ballot b
2018,79,Keeping house,Married,47,14,Associate/junior college,FEMALE,2,.i:  Inapplicable,-100.0,Ballot c
2018,80,.n:  No answer,Married,63,.n:  No answer,Less than high school,FEMALE,2,3,-100.0,Ballot b
2018,81,Retired,Married,71,16,Bachelor's,FEMALE,2,5,70100.0,Ballot a
2018,82,Working full time,Married,42,12,High school,FEMALE,2,2,98140.0,Ballot a
2018,83,Working full time,Divorced,37,12,High school,FEMALE,2,2,38555.0,Ballot b
2018,84,Working full time,Married,40,13,High school,FEMALE,3,1,47317.5,Ballot a
2018,85,Working part time,Separated,70,12,High school,MALE,2,.i:  Inapplicable,31545.0,Ballot c
2018,86,Working full time,Never married,28,17,Bachelor's,MALE,2,0 hours,38555.0,Ballot b
2018,87,Working full time,Never married,53,13,High school,FEMALE,2,3,26287.5,Ballot b
2018,88,"With a job, but not at work because of temporary illness, vacation, strike",Married,46,16,High school,MALE,4,.i:  Inapplicable,158201.84123,Ballot c
2018,89,Working full time,Married,55,18,Graduate,MALE,2,3,70100.0,Ballot b
2018,90,Working full time,Never married,28,18,Graduate,MALE,1,2,6309.0,Ballot b
2018,91,"With a job, but not at work because of temporary illness, vacation, strike",Never married,42,16,Graduate,MALE,1,1,70100.0,Ballot b
2018,92,Working part time,Married,77,19,Graduate,FEMALE,1,4,84120.0,Ballot a
2018,93,Working part time,Never married,29,16,Graduate,MALE,2,1,-100.0,Ballot b
2018,94,Keeping house,Widowed,62,12,Less than high school,FEMALE,3,3,-100.0,Ballot b
2018,95,Working full time,Never married,30,16,Bachelor's,FEMALE,1,5,70100.0,Ballot a
2018,96,Working part time,Never married,22,14,High school,MALE,3,.i:  Inapplicable,-100.0,Ballot c
2018,97,Retired,Married,69,13,High school,FEMALE,2,.i:  Inapplicable,70100.0,Ballot c
2018,98,"With a job, but not at work because of temporary illness, vacation, strike",Separated,45,16,Bachelor's,MALE,1,0 hours,98140.0,Ballot a
2018,99,Keeping house,Married,32,12,High school,FEMALE,3,.i:  Inapplicable,-100.0,Ballot c
2018,100,Keeping house,Widowed,60,4,Less than high school,FEMALE,1,.i:  Inapplicable,6309.0,Ballot c
2018,101,Working full time,Divorced,48,12,Less than high school,MALE,1,3,38555.0,Ballot a
2018,102,Retired,Divorced,81,12,High school,FEMALE,2,3,1402.0,Ballot a
2018,103,Working full time,Married,50,18,Graduate,MALE,2,.i:  Inapplicable,158201.84123,Ballot c
2018,104,Retired,Married,78,14,High school,FEMALE,2,.i:  Inapplicable,70100.0,Ballot c
2018,105,"With a job, but not at work because of temporary illness, vacation, strike",Never married,56,18,Graduate,MALE,1,8,47317.5,Ballot b
2018,106,Working full time,Never married,60,14,High school,MALE,1,1,70100.0,Ballot a
2018,107,Working full time,Never married,23,12,High school,MALE,4,12,112160.0,Ballot b
2018,108,"With a job, but not at work because of temporary illness, vacation, strike",Never married,67,12,High school,FEMALE,1,5,-100.0,Ballot b
2018,109,Working part time,Married,54,16,Bachelor's,FEMALE,2,.i:  Inapplicable,-100.0,Ballot c
2018,110,Keeping house,Married,62,14,Associate/junior college,FEMALE,2,6,112160.0,Ballot b
2018,111,Working full time,Divorced,55,14,Associate/junior college,FEMALE,1,.i:  Inapplicable,70100.0,Ballot c
2018,112,Working part time,Married,56,12,High school,FEMALE,2,1,112160.0,Ballot b
2018,113,Keeping house,Never married,58,14,Associate/junior college,MALE,2,8,70100.0,Ballot b
2018,114,Retired,Divorced,74,12,High school,FEMALE,1,0 hours,7886.25,Ballot b
2018,115,Working full time,Married,70,16,Bachelor's,MALE,2,2,158201.84123,Ballot b
2018,116,Working full time,Married,35,17,Bachelor's,MALE,4,2,158201.84123,Ballot a
2018,117,Retired,Married,65,8,Less than high school,MALE,2,4,57832.5,Ballot b
2018,118,Other,Married,42,14,Associate/junior college,FEMALE,2,.i:  Inapplicable,38555.0,Ballot c
2018,119,Working part time,Married,48,13,High school,FEMALE,4,.i:  Inapplicable,47317.5,Ballot c
2018,120,Working full time,Never married,32,13,High school,MALE,2,4,31545.0,Ballot a
2018,121,Keeping house,Married,56,12,High school,FEMALE,5,.i:  Inapplicable,70100.0,Ballot c
2018,122,Working full time,Married,61,12,High school,FEMALE,2,3,57832.5,Ballot a
2018,123,Working part time,Widowed,76,16,Bachelor's,FEMALE,1,.i:  Inapplicable,47317.5,Ballot c
2018,124,Working part time,Married,59,16,Bachelor's,FEMALE,2,.i:  Inapplicable,57832.5,Ballot c
2018,125,Working part time,Never married,69,16,Bachelor's,MALE,1,4,22782.5,Ballot a
2018,126,Working full time,Never married,48,18,Graduate,MALE,1,2,70100.0,Ballot b
2018,127,Working full time,Married,68,20,Graduate,FEMALE,3,2,57832.5,Ballot a
2018,128,Working part time,Never married,39,16,Bachelor's,FEMALE,2,.i:  Inapplicable,350.5,Ballot c
2018,129,Working full time,Married,38,18,Graduate,MALE,3,1,98140.0,Ballot a
2018,130,Working full time,Never married,39,18,Graduate,FEMALE,3,.i:  Inapplicable,112160.0,Ballot c
2018,131,Keeping house,Married,52,12,High school,FEMALE,3,0 hours,-100.0,Ballot b
2018,132,Keeping house,Married,41,20,Graduate,FEMALE,3,1,26287.5,Ballot a
2018,133,Working full time,Married,60,17,Bachelor's,MALE,1,0 hours,158201.84123,Ballot b
2018,134,Working full time,Married,69,15,High school,MALE,2,.i:  Inapplicable,158201.84123,Ballot c
2018,135,Working full time,Married,60,13,High school,MALE,2,2,158201.84123,Ballot b
2018,136,Working full time,Never married,22,12,High school,FEMALE,6,0 hours,38555.0,Ballot b
2018,137,In school,Never married,33,16,High school,MALE,4,2,57832.5,Ballot a
2018,138,Working full time,Married,35,16,Bachelor's,FEMALE,2,.i:  Inapplicable,98140.0,Ballot c
2018,139,Working full time,Married,38,12,Less than high school,FEMALE,4,1,22782.5,Ballot b
2018,140,Working full time,Never married,25,15,High school,FEMALE,4,3,22782.5,Ballot a
2018,141,Working full time,Divorced,55,14,Associate/junior college,MALE,1,.i:  Inapplicable,70100.0,Ballot c
2018,142,Working part time,Married,34,17,High school,MALE,2,2,16648.75,Ballot b
2018,143,Keeping house,Divorced,49,11,Less than high school,MALE,2,4,-100.0,Ballot a
2018,144,In school,Never married,18,12,High school,MALE,4,4,13143.75,Ballot b
2018,145,Working full time,Divorced,56,12,High school,MALE,1,1,47317.5,Ballot b
2018,146,Working full time,Never married,19,12,High school,MALE,1,0 hours,47317.5,Ballot a
2018,147,"Unemployed, laid off, looking for work",Never married,34,12,High school,MALE,3,1,47317.5,Ballot b
2018,148,Working full time,Never married,26,17,Bachelor's,FEMALE,1,3,9638.75,Ballot b
2018,149,In school,Never married,28,14,High school,MALE,2,0 hours,47317.5,Ballot a
2018,150,Working full time,Separated,59,19,Graduate,FEMALE,2,2,70100.0,Ballot b
2018,151,Working full time,Never married,39,16,Graduate,FEMALE,3,.i:  Inapplicable,47317.5,Ballot c
2018,152,Retired,Separated,77,13,High school,FEMALE,1,.i:  Inapplicable,3154.5,Ballot c
2018,153,"Unemployed, laid off, looking for work",Never married,35,12,High school,FEMALE,2,5,3154.5,Ballot b
2018,154,Working full time,Separated,46,16,Bachelor's,FEMALE,2,.i:  Inapplicable,57832.5,Ballot c
2018,155,Working full time,Never married,57,8,Less than high school,MALE,2,2,31545.0,Ballot b
2018,156,Working full time,Married,35,11,Less than high school,FEMALE,5,.i:  Inapplicable,7886.25,Ballot c
2018,157,Working full time,Separated,58,12,High school,FEMALE,2,2,19277.5,Ballot a
2018,158,Working part time,Never married,20,14,High school,FEMALE,5,1,31545.0,Ballot a
2018,159,Working full time,Married,48,7,Less than high school,FEMALE,5,1,13143.75,Ballot b
2018,160,Working full time,Separated,51,2,Less than high school,FEMALE,3,0 hours,9638.75,Ballot a
2018,161,In school,Never married,18,11,Less than high school,FEMALE,5,.i:  Inapplicable,-100.0,Ballot c
2018,162,In school,Never married,18,12,High school,FEMALE,4,4,84120.0,Ballot b
2018,163,Working full time,Married,41,12,High school,FEMALE,4,2,47317.5,Ballot a
2018,164,Keeping house,Married,51,15,High school,FEMALE,4,.i:  Inapplicable,3855.5,Ballot c
2018,165,Keeping house,Married,41,6,Less than high school,FEMALE,5,3,2453.5,Ballot a
2018,166,Retired,Never married,71,13,High school,FEMALE,1,0 hours,-100.0,Ballot b
2018,167,Working full time,Never married,43,9,Less than high school,MALE,3,.i:  Inapplicable,31545.0,Ballot c
2018,168,Working part time,Never married,53,16,Bachelor's,MALE,3,8,-100.0,Ballot a
2018,169,Working full time,Never married,46,18,Associate/junior college,MALE,1,.i:  Inapplicable,38555.0,Ballot c
2018,170,Working full time,Married,36,13,High school,MALE,2,3,47317.5,Ballot a
2018,171,Working full time,Never married,19,12,High school,MALE,2,.i:  Inapplicable,47317.5,Ballot c
2018,172,Working part time,Married,65,14,High school,MALE,2,2,22782.5,Ballot b
2018,173,Working full time,Divorced,60,13,High school,FEMALE,1,.i:  Inapplicable,31545.0,Ballot c
2018,174,Retired,Never married,63,16,Bachelor's,FEMALE,1,2,-100.0,Ballot b
2018,175,Working full time,Married,36,20,Graduate,MALE,3,.i:  Inapplicable,158201.84123,Ballot c
2018,176,Keeping house,Married,40,16,Bachelor's,FEMALE,3,1,112160.0,Ballot b
2018,177,Working full time,Married,42,18,Graduate,FEMALE,4,1,158201.84123,Ballot a
2018,178,Working full time,Separated,61,14,High school,MALE,1,.i:  Inapplicable,98140.0,Ballot c
2018,179,Working full time,Never married,27,16,Bachelor's,MALE,1,0 hours,57832.5,Ballot b
2018,180,Keeping house,Never married,52,14,High school,MALE,1,3,9638.75,Ballot a
2018,181,Working part time,Never married,36,12,High school,FEMALE,1,.i:  Inapplicable,-100.0,Ballot c
2018,182,Retired,Divorced,74,16,High school,FEMALE,1,1,7886.25,Ballot b
2018,183,Working full time,Never married,36,20,Graduate,MALE,2,1,98140.0,Ballot a
2018,184,Working full time,Never married,34,17,Graduate,MALE,1,2,57832.5,Ballot b
2018,185,Working full time,Divorced,46,16,Bachelor's,MALE,1,3,98140.0,Ballot a
2018,186,In school,Never married,21,14,High school,FEMALE,4,.i:  Inapplicable,112160.0,Ballot c
2018,187,Retired,Divorced,72,11,Less than high school,FEMALE,2,8,70100.0,Ballot b
2018,188,Working full time,Married,46,16,Bachelor's,MALE,2,2,84120.0,Ballot a
2018,189,In school,Never married,21,14,High school,FEMALE,4,.i:  Inapplicable,-100.0,Ballot c
2018,190,Working full time,Never married,46,13,High school,MALE,2,1,57832.5,Ballot b
2018,191,Working full time,Divorced,53,12,High school,MALE,2,.i:  Inapplicable,84120.0,Ballot c
2018,192,Retired,Widowed,74,18,Graduate,FEMALE,2,.i:  Inapplicable,158201.84123,Ballot c
2018,193,Keeping house,Divorced,70,6,Less than high school,MALE,3,2,350.5,Ballot b
2018,194,Working full time,Married,36,16,Bachelor's,FEMALE,3,0 hours,70100.0,Ballot a
2018,195,Retired,Married,57,11,Less than high school,MALE,1,10,13143.75,Ballot b
2018,196,Working full time,Never married,60,16,Bachelor's,MALE,1,2,70100.0,Ballot a
2018,197,Working full time,Divorced,53,12,Less than high school,FEMALE,5,3,47317.5,Ballot b
2018,198,Working full time,Married,69,12,High school,MALE,2,3,70100.0,Ballot a
2018,199,Working full time,Married,38,16,Bachelor's,FEMALE,5,.i:  Inapplicable,98140.0,Ballot c
2018,200,Working part time,Married,48,14,High school,FEMALE,4,1,158201.84123,Ballot a
2018,201,Working full time,Never married,30,16,Bachelor's,MALE,2,1,57832.5,Ballot a
2018,202,Keeping house,Never married,29,13,High school,MALE,2,1,158201.84123,Ballot a
2018,203,Retired,Married,68,16,Bachelor's,FEMALE,2,.i:  Inapplicable,84120.0,Ballot c
2018,204,Keeping house,Married,64,13,High school,FEMALE,2,6,57832.5,Ballot a
2018,205,"Unemployed, laid off, looking for work",Married,43,16,Graduate,MALE,4,.i:  Inapplicable,57832.5,Ballot c
2018,206,Retired,Widowed,69,12,High school,FEMALE,1,4,70100.0,Ballot b
2018,207,Working full time,Married,47,12,High school,MALE,2,0 hours,84120.0,Ballot a
2018,208,Keeping house,Married,57,12,High school,MALE,5,6,57832.5,Ballot b
2018,209,Working full time,Married,50,16,Graduate,MALE,2,.i:  Inapplicable,70100.0,Ballot c
2018,210,"Unemployed, laid off, looking for work",Never married,25,12,High school,FEMALE,2,8,-100.0,Ballot b
2018,211,Retired,Divorced,75,14,High school,MALE,1,.i:  Inapplicable,13143.75,Ballot c
2018,212,Working full time,Married,46,14,High school,MALE,2,1,158201.84123,Ballot b
2018,213,Retired,Divorced,77,10,Less than high school,FEMALE,1,15,14896.25,Ballot a
2018,214,In school,Never married,18,11,Less than high school,FEMALE,6,0 hours,9638.75,Ballot b
2018,215,Retired,Married,62,12,High school,FEMALE,2,.i:  Inapplicable,22782.5,Ballot c
2018,216,Working part time,Married,30,15,Associate/junior college,FEMALE,5,2,22782.5,Ballot a
2018,217,Retired,Widowed,70,7,Less than high school,FEMALE,3,.i:  Inapplicable,14896.25,Ballot c
2018,218,Working full time,Married,50,3,Less than high school,MALE,5,0 hours,3855.5,Ballot b
2018,219,Keeping house,Separated,44,12,High school,FEMALE,3,3,7886.25,Ballot a
2018,220,Working full time,Married,33,12,High school,FEMALE,3,.i:  Inapplicable,26287.5,Ballot c
2018,221,Working full time,Married,34,19,Graduate,FEMALE,4,.i:  Inapplicable,98140.0,Ballot c
2018,222,Working part time,Married,46,16,Bachelor's,FEMALE,4,.i:  Inapplicable,158201.84123,Ballot c
2018,223,Working part time,Married,51,12,High school,MALE,3,2,47317.5,Ballot a
2018,224,Working full time,Never married,28,14,High school,MALE,3,.i:  Inapplicable,57832.5,Ballot c
2018,225,Working part time,Divorced,74,16,Bachelor's,MALE,1,3,47317.5,Ballot a
2018,226,Working part time,Never married,29,15,High school,FEMALE,4,2,47317.5,Ballot b
2018,227,"Unemployed, laid off, looking for work",Married,49,11,Less than high school,MALE,6,2,22782.5,Ballot a
2018,228,Working full time,Never married,28,17,Bachelor's,FEMALE,2,.i:  Inapplicable,47317.5,Ballot c
2018,229,Keeping house,Separated,48,12,High school,FEMALE,4,6,57832.5,Ballot b
2018,230,Working part time,Never married,24,12,High school,FEMALE,3,3,26287.5,Ballot b
2018,231,Working full time,Divorced,51,15,High school,FEMALE,1,.i:  Inapplicable,19277.5,Ballot c
2018,232,Working full time,Divorced,42,16,Bachelor's,FEMALE,1,1,47317.5,Ballot b
2018,233,Working full time,Married,44,17,Bachelor's,MALE,2,.i:  Inapplicable,-100.0,Ballot c
2018,234,Keeping house,Married,33,12,High school,FEMALE,2,6,31545.0,Ballot a
2018,235,Working full time,Married,29,12,High school,MALE,3,.i:  Inapplicable,70100.0,Ballot c
2018,236,Working full time,Married,48,17,Bachelor's,FEMALE,2,2,158201.84123,Ballot b
2018,237,Working full time,Widowed,62,10,Less than high school,FEMALE,2,2,22782.5,Ballot a
2018,238,Keeping house,Widowed,88,12,High school,FEMALE,1,.i:  Inapplicable,-100.0,Ballot c
2018,239,"With a job, but not at work because of temporary illness, vacation, strike",Married,65,18,Graduate,MALE,3,4,112160.0,Ballot b
2018,240,Keeping house,Married,28,13,High school,FEMALE,4,2,98140.0,Ballot a
2018,241,Working full time,Married,58,14,Associate/junior college,FEMALE,2,.i:  Inapplicable,57832.5,Ballot c
2018,242,Working full time,Never married,26,13,High school,MALE,4,.i:  Inapplicable,31545.0,Ballot c
2018,243,Working full time,Married,61,13,High school,FEMALE,1,3,22782.5,Ballot b
2018,244,Working full time,Married,30,13,High school,FEMALE,5,2,57832.5,Ballot a
2018,245,Working part time,Never married,22,14,High school,FEMALE,1,3,4556.5,Ballot b
2018,246,Working full time,Never married,24,12,High school,FEMALE,3,1,-100.0,Ballot a
2018,247,Working full time,Never married,29,12,High school,MALE,4,.i:  Inapplicable,57832.5,Ballot c
2018,248,Retired,Widowed,70,13,High school,MALE,1,.i:  Inapplicable,31545.0,Ballot c
2018,249,Working full time,Never married,34,16,Graduate,MALE,1,.i:  Inapplicable,-100.0,Ballot c
2018,250,Retired,Married,66,12,High school,MALE,2,3,158201.84123,Ballot a
2018,251,Retired,Divorced,84,12,High school,FEMALE,1,.i:  Inapplicable,9638.75,Ballot c
2018,252,Working full time,Married,37,16,Bachelor's,MALE,2,1,158201.84123,Ballot b
2018,253,"Unemployed, laid off, looking for work",Divorced,61,14,Associate/junior college,FEMALE,2,18,11391.25,Ballot b
2018,254,Keeping house,Never married,58,12,High school,FEMALE,1,8,9638.75,Ballot b
2018,255,Retired,Divorced,88,10,Less than high school,MALE,1,10,7886.25,Ballot a
2018,256,Keeping house,Separated,80,1,Less than high school,FEMALE,9,1,-100.0,Ballot a
2018,257,Working full time,Never married,36,12,High school,MALE,8,.i:  Inapplicable,98140.0,Ballot c
2018,258,Working full time,Never married,33,16,Bachelor's,FEMALE,4,0 hours,38555.0,Ballot a
2018,259,Retired,Widowed,81,16,Bachelor's,MALE,2,2,38555.0,Ballot a
2018,260,Working full time,Married,31,12,High school,MALE,7,2,47317.5,Ballot b
2018,261,Retired,Married,69,16,Bachelor's,FEMALE,2,1,112160.0,Ballot a
2018,262,Working full time,Never married,26,16,Bachelor's,MALE,3,.i:  Inapplicable,112160.0,Ballot c
2018,263,Working full time,Married,45,16,Bachelor's,MALE,2,1,112160.0,Ballot b
2018,264,Working part time,Married,54,16,Bachelor's,FEMALE,3,3,57832.5,Ballot b
2018,265,"Unemployed, laid off, looking for work",Married,61,16,Bachelor's,FEMALE,3,2,158201.84123,Ballot a
2018,266,In school,Never married,19,13,High school,MALE,4,1,38555.0,Ballot b
2018,267,Working full time,Separated,58,16,Bachelor's,MALE,2,.i:  Inapplicable,70100.0,Ballot c
2018,268,Working full time,Divorced,50,14,Associate/junior college,FEMALE,2,0 hours,57832.5,Ballot b
2018,269,Working full time,Never married,36,16,Bachelor's,MALE,2,.i:  Inapplicable,98140.0,Ballot c
2018,270,Working full time,Never married,27,12,High school,FEMALE,4,1,57832.5,Ballot a
2018,271,Working full time,Never married,51,12,High school,MALE,1,.i:  Inapplicable,47317.5,Ballot c
2018,272,Working full time,Married,48,18,Bachelor's,MALE,3,1,9638.75,Ballot a
2018,273,Working full time,Never married,29,14,High school,FEMALE,3,.i:  Inapplicable,47317.5,Ballot c
2018,274,Working full time,Divorced,65,19,Graduate,FEMALE,2,2,70100.0,Ballot a
2018,275,Retired,Never married,67,16,Bachelor's,FEMALE,1,.i:  Inapplicable,57832.5,Ballot c
2018,276,Working full time,Married,53,16,Bachelor's,MALE,2,1,84120.0,Ballot b
2018,277,Working full time,Married,45,18,Graduate,MALE,4,.i:  Inapplicable,158201.84123,Ballot c
2018,278,Working part time,Divorced,36,15,High school,FEMALE,2,.i:  Inapplicable,22782.5,Ballot c
2018,279,Working full time,Married,60,12,High school,MALE,2,.i:  Inapplicable,84120.0,Ballot c
2018,280,Working full time,Married,63,16,Bachelor's,FEMALE,5,2,158201.84123,Ballot b
2018,281,Working full time,Divorced,52,12,High school,FEMALE,1,2,47317.5,Ballot a
2018,282,Working full time,Married,34,13,High school,MALE,5,.i:  Inapplicable,57832.5,Ballot c
2018,283,Working full time,Married,58,14,High school,MALE,2,3,-100.0,Ballot b
2018,284,Retired,Married,63,12,High school,MALE,2,3,98140.0,Ballot a
2018,285,Retired,Divorced,71,16,Bachelor's,FEMALE,2,.i:  Inapplicable,47317.5,Ballot c
2018,286,Retired,Married,67,12,High school,FEMALE,3,3,84120.0,Ballot b
2018,287,"Unemployed, laid off, looking for work",Divorced,65,18,Bachelor's,FEMALE,1,.i:  Inapplicable,112160.0,Ballot c
2018,288,Working full time,Never married,39,15,High school,FEMALE,3,2,31545.0,Ballot a
2018,289,Working full time,Separated,46,12,High school,FEMALE,1,1,38555.0,Ballot b
2018,290,Retired,Widowed,83,12,High school,FEMALE,1,6,16648.75,Ballot a
2018,291,Working full time,Divorced,59,17,Bachelor's,MALE,2,.i:  Inapplicable,84120.0,Ballot c
2018,292,Working full time,Married,63,19,Graduate,FEMALE,2,.i:  Inapplicable,-100.0,Ballot c
2018,293,Working full time,Never married,38,12,High school,FEMALE,3,1,31545.0,Ballot b
2018,294,Working full time,Divorced,50,12,High school,MALE,2,2,38555.0,Ballot a
2018,295,In school,Never married,18,11,High school,FEMALE,4,.i:  Inapplicable,1402.0,Ballot c
2018,296,Working full time,Married,45,16,Bachelor's,FEMALE,3,3,112160.0,Ballot a
